Soru_No,Baslik,Aciklama_No,Aciklama_Metin,Ornek_Metin,Yorum,Soru,Sik_A,Sik_B,Sik_C,Sik_D,Dogru_Cevap
173,Madde 29/50 Şut saati,29/50-20,"Açıklama: Eğer oyun, bir hakem tarafından iki takımı ilgilendirmeyen herhangi bir geçerli nedenle durdurulursa ve hakemlerin değerlendirmesine göre rakipler dezavantajlı bir duruma düşerse şut saati kalan süre ile devam edecektir.","Dördüncü çeyrekte oyun saatinde 0:25 kala ve skor A 72 – B 72 iken A takımı, kendi ön sahasında topun kontrolünü kazanır. Oyun, hakemler tarafından aşağıdaki nedenlerden dolayı durdurulduğunda A1, 20 saniye boyunca dripling yapmıştır. (a) Oyun saati ya da şut saati çalışmadığı ya da başlamadığı için. (b) Sahaya bir şişe atıldığı için. (c) Şut saati yanlışlıkla başa alındığı için.","Tüm durumlarda oyun, oyunun durdurulduğu en yakın yerden A takımının topu oyuna sokmasıyla devam edecektir. A takımının şut saatinde 4 saniyesi olacaktır. Eğer oyun, şut saatinde kalan süre olmadan devam ederse B takımı dezavantajlı duruma düşecektir.","Dördüncü çeyrekte oyun saatinde 0:25 kala ve skor A 72 – B 72 iken, A takımı kendi ön sahasında topun kontrolünü kazanır ve oyun, hakemler tarafından aşağıdaki nedenlerden dolayı durdurulduğunda A1, 20 saniye boyunca dripling yapmıştır. (a) Oyun saati ya da şut saati çalışmadığı ya da başlamadığı için. (b) Sahaya bir şişe atıldığı için. (c) Şut saati yanlışlıkla başa alındığı için. Bu durumda A takımının şut saati ne olacaktır?",A takımının şut saatinde 4 saniyesi olacaktır.,A takımının şut saati sıfırlanacaktır.,A takımının şut saati 14 saniyeye ayarlanacaktır.,A takımının şut saati 24 saniyeye ayarlanacaktır.,A
174,Madde 29/50 Şut saati,29/50-20,"Açıklama: Eğer oyun, bir hakem tarafından iki takımı ilgilendirmeyen herhangi bir geçerli nedenle durdurulursa ve hakemlerin değerlendirmesine göre rakipler dezavantajlı bir duruma düşerse şut saati kalan süre ile devam edecektir.",A1’in sayı amacıyla attığı şut çembere temas eder. A2 ribaundu alır ve 9 saniye sonra şut saati yanlışlıkla sesli işaret verir. Hakemler oyunu durdururlar.,"Eğer bu bir şut saati ihlali olursa, topu kontrol eden A takımı dezavantajlı duruma düşecektir. Hakemler, varsa komisere ve şut saati görevlisine danıştıktan sonra oyun A takımının topu oyuna sokmasıyla devam edecektir. A takımının şut saatinde 5 saniyesi olacaktır.",A1’in sayı amacıyla attığı şut çembere temas eder. A2 ribaundu alır ve 9 saniye sonra şut saati yanlışlıkla sesli işaret verir. Hakemler oyunu durdururlar. Bu durumda oyun nasıl devam etmelidir?,"Oyun, B takımının topu oyuna sokmasıyla ve şut saatinin 14 saniye olarak ayarlanmasıyla devam eder.",Hakemler topu kontrol eden A takımına geri verir ve şut saati 5 saniyeye ayarlanarak oyun devam eder.,"Oyun, A takımının topu oyuna sokmasıyla ve şut saatinin 24 saniye olarak sıfırlanmasıyla devam eder.",Hakemler topu kontrol eden B takımına verir ve şut saati 14 saniyeye ayarlanarak oyun devam eder.,B
175,Madde 29/50 Şut saati,29/50-20,"Açıklama: Eğer oyun, bir hakem tarafından iki takımı ilgilendirmeyen herhangi bir geçerli nedenle durdurulursa ve hakemlerin değerlendirmesine göre rakipler dezavantajlı bir duruma düşerse şut saati kalan süre ile devam edecektir.",Şut saatinde 4 saniye kala A1 sayı amacıyla bir şut atar. Top çembere temas etmez ancak şut saati görevlisi yanlışlıkla saati başa alır. A2 ribaundu alır ve bir süre sonra A3 sayı kaydeder. Bu sırada hakemler hatayı fark ederler.,"Hakemler, varsa komisere danıştıktan sonra A1’in şutunda topun çembere temas etmediğini teyit edecektir. Şut saatini başa alma durumu olmasaydı şut saatinin sesli işaretinden önce topun, A3’ün el ya da ellerini terk edip etmediğine karar vereceklerdir. Eğer topun ellerini terk ettiğine karar verilirse, A3’ün sayısı sayı geçerli olacaktır. Aksi takdirde bir şut saati ihlali olacak ve A3’ün sayısı geçerli olmayacaktır.",Şut saatinde 4 saniye kala A1 sayı amacıyla bir şut atar. Top çembere temas etmez ancak şut saati görevlisi yanlışlıkla saati başa alır. A2 ribaundu alır ve bir süre sonra A3 sayı kaydeder. Bu sırada hakemler hatayı fark ederler. Bu durumda ne yapılmalıdır?,A3'ün sayısı geçerli sayılır çünkü top A3'ün el ya da ellerini terk etmiştir.,A3'ün sayısı geçerli sayılmaz ve şut saati ihlali olur.,Oyun durur ve A2'nin ribaundu ile devam edilir.,Şut saati sıfırlanır ve A1'in şutu tekrar edilir.,B
176,Madde 29/50 Şut saati,29/50-24,"Açıklama: Sayı amacıyla atılan bir şut elden çıktıktan sonra kendi geri sahasında olan bir savunma oyuncusuna faul çalınır. Oyun topun oyuna sokulmasıyla devam edecekse şut saati aşağıdaki şekilde ayarlanacaktır. • Eğer oyun durdurulduğu anda şut saati 14 saniye veya daha fazla gösteriyorsa şut saati başa alınmayacak, durdurulduğu yerden itibaren devam edecektir. • Eğer oyun durdurulduğu anda şut saati 13 saniye veya daha az gösteriyorsa şut saati 14 saniyeye ayarlanacaktır.","A1 sayı amacıyla bir şut girişiminde bulunur. Top çemberden içeri geçer. B2 kendi geri sahasındayken, A2’ye bir faul yapar. Bu, B takımının o çeyrekteki üçüncü takım faulüdür.",A1’in sayısı geçerlidir. Oyun A takımı tarafından B2’nin faulünün meydana geldiği en yakın yerden topu oyuna sokmasıyla devam edecektir. A takımının şut saatinde 14 saniyesi olacaktır.,"A1 sayı amacıyla bir şut girişiminde bulunur. Top çemberden içeri geçer. B2 kendi geri sahasındayken, A2’ye bir faul yapar. Bu, B takımının o çeyrekteki üçüncü takım faulüdür. Bu durumda ne olur?","A1’in sayısı geçersiz olur, oyun B takımının topu oyuna sokmasıyla devam eder.",A1’in sayısı geçerlidir. Oyun A takımı tarafından B2’nin faulünün meydana geldiği en yakın yerden topu oyuna sokmasıyla devam edecektir. A takımının şut saatinde 14 saniyesi olacaktır.,"A1’in sayısı geçersiz olur, B2’nin faulü nedeniyle A2 serbest atış yapar.","A1’in sayısı geçerlidir, ancak oyun B takımının topu oyuna sokmasıyla devam eder.",B
177,Madde 29/50 Şut saati,29/50-24,"Açıklama: Sayı amacıyla atılan bir şut elden çıktıktan sonra kendi geri sahasında olan bir savunma oyuncusuna faul çalınır. Oyun topun oyuna sokulmasıyla devam edecekse şut saati aşağıdaki şekilde ayarlanacaktır. • Eğer oyun durdurulduğu anda şut saati 14 saniye veya daha fazla gösteriyorsa şut saati başa alınmayacak, durdurulduğu yerden itibaren devam edecektir. • Eğer oyun durdurulduğu anda şut saati 13 saniye veya daha az gösteriyorsa şut saati 14 saniyeye ayarlanacaktır.","Şut saatinde 17 saniye kala, A1’in sayı amacıyla attığı şut sırasında top havadadır ve B2 kendi geri sahasındayken, A2’ye bir faul yapar. Bu, B takımının o çeyrekteki ikinci takım faulüdür. Sonrasında top, (a) Sepete girmez ancak çemberden geri gelir. (b) Çembere temas etmez.","Tüm durumlarda oyun A takımı tarafından, kendi ön sahasındaki B2’nin faulünün meydana geldiği en yakın yerden topu oyuna sokmasıyla devam edecektir. A takımının şut saatinde 17 saniyesi olacaktır.","Şut saatinde 17 saniye kala, A1’in sayı amacıyla attığı şut sırasında top havadadır ve B2 kendi geri sahasındayken, A2’ye bir faul yapar. Bu, B takımının o çeyrekteki ikinci takım faulüdür. Sonrasında top (a) Sepete girmez ancak çemberden geri gelir. (b) Çembere temas etmez. Bu durumda A takımının şut saati ne şekilde olacaktır?",A takımının şut saati 17 saniye olarak kalır.,A takımının şut saati 14 saniyeye ayarlanır.,A takımının şut saati 24 saniyeye ayarlanır.,A takımının şut saati sıfırlanır ve yeniden başlatılır.,A
178,Madde 29/50 Şut saati,29/50-24,"Açıklama: Sayı amacıyla atılan bir şut elden çıktıktan sonra kendi geri sahasında olan bir savunma oyuncusuna faul çalınır. Oyun topun oyuna sokulmasıyla devam edecekse şut saati aşağıdaki şekilde ayarlanacaktır. • Eğer oyun durdurulduğu anda şut saati 14 saniye veya daha fazla gösteriyorsa şut saati başa alınmayacak, durdurulduğu yerden itibaren devam edecektir. • Eğer oyun durdurulduğu anda şut saati 13 saniye veya daha az gösteriyorsa şut saati 14 saniyeye ayarlanacaktır.","Şut saatinde 10 saniye kala, A1’in sayı amacıyla attığı şut sırasında top havadadır ve B2, kendi geri sahasındayken A2’ye bir faul yapar. Bu, B takımının o çeyrekteki ikinci takım faulüdür. Sonrasında top, (a) Sepete girer. (b) Sepete girmez ancak çemberden geri gelir. (c) Çembere temas etmez.","(a) A1’in sayısı geçerlidir. Tüm durumlarda oyun A takımı tarafından, kendi ön sahasındaki B2’nin faulünün meydana geldiği en yakın yerden topu oyuna sokmasıyla devam edecektir. A takımının şut saatinde 14 saniyesi olacaktır.","Şut saatinde 10 saniye kala, A1’in sayı amacıyla attığı şut sırasında top havadadır ve B2, kendi geri sahasındayken A2’ye bir faul yapar. Bu, B takımının o çeyrekteki ikinci takım faulüdür. Sonrasında top, (a) Sepete girer. (b) Sepete girmez ancak çemberden geri gelir. (c) Çembere temas etmez. Bu durumda oyun nasıl devam eder?","A1’in sayısı geçerlidir ve A takımı, B2’nin faulünün meydana geldiği en yakın yerden topu oyuna sokar. A takımının şut saatinde 14 saniyesi olacaktır.","A1’in sayısı geçersizdir ve A takımı, B2’nin faulünün meydana geldiği en uzak yerden topu oyuna sokar. A takımının şut saatinde 24 saniyesi olacaktır.","A1’in sayısı geçerlidir ancak B takımı, şut saatinde 14 saniye ile topu oyuna sokar.","A1’in sayısı geçersizdir ve B takımı, şut saatinde 24 saniye ile topu oyuna sokar.",A
179,Madde 29/50 Şut saati,29/50-24,"Açıklama: Sayı amacıyla atılan bir şut elden çıktıktan sonra kendi geri sahasında olan bir savunma oyuncusuna faul çalınır. Oyun topun oyuna sokulmasıyla devam edecekse şut saati aşağıdaki şekilde ayarlanacaktır. • Eğer oyun durdurulduğu anda şut saati 14 saniye veya daha fazla gösteriyorsa şut saati başa alınmayacak, durdurulduğu yerden itibaren devam edecektir. • Eğer oyun durdurulduğu anda şut saati 13 saniye veya daha az gösteriyorsa şut saati 14 saniyeye ayarlanacaktır.","A1’in sayı amacıyla attığı şut sırasında top havadadır ve bu sırada şut saati sesli işaret verir. B2, kendi geri sahasındayken A2’ye bir faul yapar. Bu, B takımının o çeyrekteki ikinci faulüdür. Sonrasında top, (a) Sepete girer. (b) Sepete girmez ancak çemberden geri gelir. (c) Çembere temas etmez.","(a) A1’in sayısı geçerlidir. Tüm durumlarda bu, A takımının şut saati ihlali değildir. Oyun A takımı tarafından, kendi ön sahasındaki B2’nin faulünün meydana geldiği en yakın yerden topu oyuna sokmasıyla devam edecektir. A takımının şut saatinde 14 saniyesi olacaktır.","A1’in sayı amacıyla attığı şut sırasında top havadadır ve bu sırada şut saati sesli işaret verir. B2, kendi geri sahasındayken A2’ye bir faul yapar. Bu, B takımının o çeyrekteki ikinci faulüdür. Sonrasında top, (a) Sepete girer. (b) Sepete girmez ancak çemberden geri gelir. (c) Çembere temas etmez. Bu durumda oyun nasıl devam eder?","A1’in sayısı geçerlidir ve oyun A takımının topu oyuna sokmasıyla devam eder, şut saati 14 saniye olarak ayarlanır.",A1’in sayısı geçerli değildir ve şut saati ihlali nedeniyle top B takımına geçer.,A1’in sayısı geçerlidir ancak A takımının şut saati 24 saniyeye ayarlanır.,A1’in sayısı geçerlidir ve oyun B takımının topu oyuna sokmasıyla devam eder.,A
180,Madde 29/50 Şut saati,29/50-24,"Açıklama: Sayı amacıyla atılan bir şut elden çıktıktan sonra kendi geri sahasında olan bir savunma oyuncusuna faul çalınır. Oyun topun oyuna sokulmasıyla devam edecekse şut saati aşağıdaki şekilde ayarlanacaktır. • Eğer oyun durdurulduğu anda şut saati 14 saniye veya daha fazla gösteriyorsa şut saati başa alınmayacak, durdurulduğu yerden itibaren devam edecektir. • Eğer oyun durdurulduğu anda şut saati 13 saniye veya daha az gösteriyorsa şut saati 14 saniyeye ayarlanacaktır.","Şut saatinde 10 saniye kala, A1’in sayı amacıyla attığı şut sırasında top havadadır ve B2, kendi geri sahasındayken A2’ye bir faul yapar. Bu, B takımının o çeyrekteki beşinci takım faulüdür. Sonrasında top, (a) Sepete girer. (b) Sepete girmez ancak çemberden geri gelir. (c) Çembere temas etmez.","(a) A1’in sayısı geçerlidir. Tüm durumlarda A2, 2 serbest atış kullanacaktır. Oyun herhangi bir son serbest atış sonrası olduğu gibi devam edecektir.","Şut saatinde 10 saniye kala, A1’in sayı amacıyla attığı şut sırasında top havadadır ve B2, kendi geri sahasındayken A2’ye bir faul yapar. Bu, B takımının o çeyrekteki beşinci takım faulüdür. Sonrasında top, (a) Sepete girer. (b) Sepete girmez ancak çemberden geri gelir. (c) Çembere temas etmez. Bu durumda ne olur?","A1’in sayısı geçerlidir. Tüm durumlarda A2, 2 serbest atış kullanacaktır. Oyun herhangi bir son serbest atış sonrası olduğu gibi devam edecektir.","A1’in sayısı geçerli değildir. A2, 1 serbest atış kullanacaktır ve oyun topun oyuna sokulmasıyla devam edecektir.",A1’in sayısı geçerlidir ancak A2 serbest atış kullanmaz.,"A1’in sayısı geçerli değildir ve A2, 2 serbest atış kullanacaktır.",A
181,Madde 29/50 Şut saati,29/50-24,"Açıklama: Sayı amacıyla atılan bir şut elden çıktıktan sonra kendi geri sahasında olan bir savunma oyuncusuna faul çalınır. Oyun topun oyuna sokulmasıyla devam edecekse şut saati aşağıdaki şekilde ayarlanacaktır. • Eğer oyun durdurulduğu anda şut saati 14 saniye veya daha fazla gösteriyorsa şut saati başa alınmayacak, durdurulduğu yerden itibaren devam edecektir. • Eğer oyun durdurulduğu anda şut saati 13 saniye veya daha az gösteriyorsa şut saati 14 saniyeye ayarlanacaktır.","Şut saati sesli işaret verdiğinde ve B2, A2'ye faul yaptığında A1'in sayı amacıyla attığı şut sırasında top havadadır. Bu, B takımının o çeyrekteki beşinci takım faulüdür. Sonrasında top, (a) Sepete girer. (b) Sepete girmez ancak çemberden geri gelir. (c) Çembere temas etmez.","(a) A1’in sayısı geçerlidir. Tüm durumlarda bu A takımının şut saati ihlali değildir. A2, 2 serbest atış kullanacaktır. Oyun, herhangi bir son serbest atış sonrasında olduğu gibi devam edecektir.","Şut saati sesli işaret verdiğinde ve B2, A2'ye faul yaptığında A1'in sayı amacıyla attığı şut sırasında top havadadır. Bu, B takımının o çeyrekteki beşinci takım faulüdür. Sonrasında top, (a) Sepete girer. (b) Sepete girmez ancak çemberden geri gelir. (c) Çembere temas etmez. Ne olur?","A1’in sayısı geçerlidir. A2, 2 serbest atış kullanacaktır. Oyun, herhangi bir son serbest atış sonrasında olduğu gibi devam edecektir.","A1’in sayısı geçerli değildir. A2, 2 serbest atış kullanacaktır. Oyun, herhangi bir son serbest atış sonrasında olduğu gibi devam edecektir.","A1’in sayısı geçerlidir. Ancak A2, sadece 1 serbest atış kullanacaktır.",A1’in sayısı geçerli değildir. Şut saati ihlali olmuştur ve top B takımına geçer.,A
182,Madde 29/50 Şut saati,29/50-24,"Açıklama: Sayı amacıyla atılan bir şut elden çıktıktan sonra kendi geri sahasında olan bir savunma oyuncusuna faul çalınır. Oyun topun oyuna sokulmasıyla devam edecekse şut saati aşağıdaki şekilde ayarlanacaktır. • Eğer oyun durdurulduğu anda şut saati 14 saniye veya daha fazla gösteriyorsa şut saati başa alınmayacak, durdurulduğu yerden itibaren devam edecektir. • Eğer oyun durdurulduğu anda şut saati 13 saniye veya daha az gösteriyorsa şut saati 14 saniyeye ayarlanacaktır.","Şut saati sesli işaret verdiğinde ve B2 veya A2'ye bir teknik faul verildiğinde A1'in sayı amacıyla attığı şut sırasında top havadadır. Sonrasında top, (a) Sepete girer (b) Sepete girmez ancak çemberden geri gelir.","Her iki durumda da A (B2’nin teknik faulü için) veya B (A2’nin teknik faulü için) takımının herhangi bir oyuncusu kimse dizilmeden 1 serbest atış kullanacaktır. (a) A1'in sayısı geçerli sayılacaktır. Oyun B takımı tarafından kendi dip çizgisinin gerisinden topu oyuna sokmasıyla devam edecektir. (b) Bu bir hava atışı durumudur. Oyun şu şekilde devam edecektir; Pozisyon sırası A takımı gösteriyorsa bu durum, A takımının şut saati ihlalidir. Top, şut saatinde 24 saniye ile kendi geri sahasından topu oyuna sokması için B takımına verilecektir. Pozisyon sırası B takımını gösteriyorsa top, şut saatinde 24 saniye ile kendi geri sahasından topu oyuna sokması için B takımına verilecektir.","Şut saati sesli işaret verdiğinde ve B2 veya A2'ye bir teknik faul verildiğinde A1'in sayı amacıyla attığı şut sırasında top havadadır. Sonrasında top, (a) Sepete girerse (b) Sepete girmez ancak çemberden geri gelirse oyun nasıl devam eder?",(a) A1'in sayısı geçerli sayılacaktır. Oyun B takımı tarafından kendi dip çizgisinin gerisinden topu oyuna sokmasıyla devam edecektir.,(a) Sayı geçersiz sayılacaktır ve B takımına 2 serbest atış hakkı tanınacaktır.,"(b) Bu bir hava atışı durumudur. Oyun pozisyon sırası A takımı gösteriyorsa, A takımının şut saati ihlali sayılacak ve top B takımına verilecektir.",(b) B takımına 2 serbest atış hakkı tanınacaktır ve oyun B takımının dip çizgisinden topu oyuna sokmasıyla devam edecektir.,A
